site,ACFL,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BGGN,BHCO,BLBW,BLJA,BRTH,BTNW,BWWA,CACH,CARW,CEDW,CERW,CHSP,COYE,EAPH,EATO,EAWP,ETTI,FISP,GCFL,GRCA,HOWA,INBU,KEWA,LOWA,NOCA,NOPA,OVEN,PIWA,PRAW,RBGR,REVI,RWBL,SCTA,SUTA,WBNU,WEVI,WEWA,WOTH,YBCH,YTVI,YTWA
site_1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,6,0,0,0,12,0,0,0,1,0,0,0,0,1,0
site_2,9,0,0,0,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,6,0,0,0,6,0,4,0,0,0,2,7,0,1,0
site_3,4,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,8,0,0,0,9,0,3,0,3,0,0,6,0,4,0
site_4,7,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,2,0,0,0,0,0,13,0,0,0,11,0,3,0,3,0,2,2,0,3,0
site_5,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,4,3,2,0,0,0,5,0,0,0,0,0,9,0,0,0,6,0,4,0,2,0,0,3,0,0,0
site_6,8,0,0,5,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,5,0,0,0,11,0,3,0,2,0,3,9,0,3,0
site_7,3,3,2,2,0,0,0,3,1,0,0,1,0,0,2,1,0,0,0,0,0,5,0,3,0,0,1,9,0,0,0,1,0,9,2,0,0,7,0,1,0,3,1,1,0,0,0,4
site_8,11,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,4,0,0,0,1,0,3,0,0,0,9,1,4,0,5,0,2,4,0,1,0
site_9,10,0,0,1,1,0,3,1,3,0,0,0,0,0,3,2,0,2,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,10,0,4,0,0,0,4,7,0,0,0
site_10,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,4,0,0,0
site_11,10,0,0,1,4,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,12,0,1,0,2,0,3,7,0,1,0
site_12,5,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,6,0,0,0,1,3,2,0,0,0,6,0,0,0,1,0,4,0,0,0,7,0,6,0,3,0,0,2,0,3,0
site_13,3,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,3,0,0,0,11,0,4,0,2,0,1,3,0,0,0
site_14,3,0,0,1,5,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,9,0,4,0,2,0,1,2,0,1,0
site_15,7,0,1,1,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,6,5,0,0,0
site_16,3,0,0,0,1,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,8,0,0,0,1,0,8,0,0,0,5,0,6,0,1,0,2,4,0,1,0
site_17,8,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,4,0,0,0,0,8,0,1,0
