site,landtype,stems_ha,big_stem_bas,canopy_cover,canopy_height
site_71,mix,10814.48926,28.81969027,94.8,24.9
site_72,riparian,22986.39108,23.35045814,97.4,20.9
site_73,mix,2193.85286,33.28592685,95.32,26
site_74,dry,5047.912681,46.8336988,93.76,23.5
site_75,riparian,7398.988538,34.09180437,91.68,28.2
site_76,dry,13834.21282,33.18127888,87,25
site_77,riparian,10940.47207,35.02067507,95.32,23.05
site_78,riparian,10146.6293,15.1617981,85.96,12.4
site_79,dry,13045.47205,23.48510063,88.56,23.13333333
site_80,riparian,3673.224792,34.5096327,97.4,30.6
site_81,dry,7181.733129,30.75445415,82.84,20.25
site_82,dry,23264.62618,26.31610737,90.12,20.5
site_83,mix,11640.75382,20.82481988,51.64,25.8
site_84,dry,28181.74488,19.80220652,90.12,24.7
site_85,dry,28195.55019,23.73262393,95.32,23.3
site_86,riparian,10562.52364,19.38058971,94.8,35.25
site_87,dry,21151.31677,23.15735375,97.4,24.8
site_88,dry,18697.45142,23.07774689,91.16,27.7
site_89,mix,14468.1503,21.46132234,94.8,26.1
site_90,riparian,5830.447959,32.95334404,89.6,27.2
site_91,dry,20518.72043,15.73230088,97.4,23.2
site_92,dry,26653.85743,32.20805271,95.32,25.3
site_93,mix,3822.794791,40.41333503,95.32,28.75
site_94,dry,15410.30003,32.86880988,87.86666667,19.83333333
site_95,dry,13920.12084,33.78598559,95.84,23.15
site_96,mix,6028.717949,16.24571227,97.4,27.1
site_97,dry,33686.96784,21.09422234,75.04,21.4
site_98,mix,9793.21534,17.50800767,94.28,18.9
site_99,mix,14101.32489,27.0965522,95.32,29.15
site_100,riparian,16834.63519,29.31652178,88.90666667,31.93333333
site_101,mix,21995.41007,21.47712233,96.88,24.5
site_102,mix,7744.909046,17.89848461,92.72,26.7
site_103,dry,9593.788675,16.63556269,91.68,25.05
site_104,riparian,24285.90011,24.39925797,93.76,30.15
site_105,mix,12615.43171,25.29086068,95.14666667,34.46666667
site_106,riparian,10258.01907,25.97231576,94.8,35.85
site_107,dry,13179.7643,25.78978385,92.72,22.2
site_108,dry,17257.26018,53.51089879,90.98666667,32.36666667
site_109,dry,7756.032068,44.06614653,92.2,27.55
site_110,dry,11881.59642,45.07931318,96.36,27.25
site_111,dry,2386.179936,25.55230441,97.4,26.15
site_112,mix,4528.441117,35.2588985,90.12,36.45
site_113,mix,6856.323653,28.0863615,94.8,22.65
site_114,dry,7451.527493,27.31761493,93.24,25.4
site_115,mix,15007.73903,17.06692967,93.24,32
site_116,mix,14483.29676,22.78275511,92.72,28.3
site_117,dry,16589.90045,17.39645822,91.68,19.05
site_118,mix,8625.053705,30.56218185,91.16,24.85
site_119,dry,7195.53844,31.06905396,92.72,20.35
site_120,dry,28248.08915,36.6528115,93.24,24.8
site_121,dry,21141.53489,27.19402459,96.88,21.25
site_122,mix,23623.01086,33.59094291,89.08,26.9
site_123,riparian,8387.024685,19.21229801,87.86666667,23.93333333
site_124,mix,9283.919522,18.58786253,90.29333333,18
site_125,riparian,9900.081442,16.11650612,91.33333333,26.46666667
site_126,dry,8503.356906,11.24381314,89.25333333,17.43333333
